Week,depression
2018-06-17,84
2018-06-24,76
2018-07-01,70
2018-07-08,71
2018-07-15,72
2018-07-22,78
2018-07-29,68
2018-08-05,70
2018-08-12,69
2018-08-19,70
2018-08-26,69
2018-09-02,71
2018-09-09,79
2018-09-16,81
2018-09-23,81
2018-09-30,84
2018-10-07,92
2018-10-14,90
2018-10-21,95
2018-10-28,93
2018-11-04,93
2018-11-11,96
2018-11-18,91
2018-11-25,98
2018-12-02,96
2018-12-09,94
2018-12-16,79
2018-12-23,67
2018-12-30,75
2019-01-06,83
2019-01-13,95
2019-01-20,91
2019-01-27,100
2019-02-03,80
2019-02-10,88
2019-02-17,89
2019-02-24,89
2019-03-03,90
2019-03-10,86
2019-03-17,89
2019-03-24,87
2019-03-31,89
2019-04-07,93
2019-04-14,79
2019-04-21,73
2019-04-28,78
2019-05-05,80
2019-05-12,83
