Week,obsessive compulsive disorder
2018-06-17,59
2018-06-24,71
2018-07-01,31
2018-07-08,99
2018-07-15,61
2018-07-22,70
2018-07-29,71
2018-08-05,81
2018-08-12,40
2018-08-19,72
2018-08-26,20
2018-09-02,30
2018-09-09,38
2018-09-16,38
2018-09-23,29
2018-09-30,39
2018-10-07,100
2018-10-14,59
2018-10-21,29
2018-10-28,59
2018-11-04,57
2018-11-11,29
2018-11-18,95
2018-11-25,85
2018-12-02,78
2018-12-09,50
2018-12-16,41
2018-12-23,91
2018-12-30,0
2019-01-06,67
2019-01-13,66
2019-01-20,85
2019-01-27,57
2019-02-03,55
2019-02-10,28
2019-02-17,87
2019-02-24,46
2019-03-03,76
2019-03-10,68
2019-03-17,68
2019-03-24,29
2019-03-31,38
2019-04-07,46
2019-04-14,28
2019-04-21,57
2019-04-28,95
2019-05-05,98
2019-05-12,98
